alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
1.5603699999999998,"(0.0, 0.0)","(0.045100891784441266, -0.002292853371497875)","(0.09285579825878829, -0.009578403427828015)","(0.14336395931009238, -0.022583350599532207)","(0.19681514341136713, -0.04225485965132502)","(0.25355505863314326, -0.06989554769941073)","(0.31421775252792933, -0.10742584308185635)","(0.38003071653845844, -0.15796368515511647)","(0.4536724013977644, -0.22738500805364917)","(0.5427323360988736, -0.3303427265284602)","(0.7355955841272301, -0.6130515040854528)",0.007796699996106327
1.6203649999999998,"(0.0, 0.0)","(0.04481321884649242, -0.0023198167158994224)","(0.09226926241527324, -0.009693472283418676)","(0.14245329821134398, -0.022860280270235744)","(0.19553690308175212, -0.042783561806717406)","(0.2518411869899798, -0.07078802118864347)","(0.31196478175401565, -0.10882672838773008)","(0.37707931928866495, -0.16007093911736073)","(0.4497614594773688, -0.23049742956972938)","(0.5373566294969557, -0.3350091567301596)","(0.7259560770533448, -0.6222360251940579)",0.008305700030177832
1.6803599999999996,"(0.0, 0.0)","(0.04452852793202134, -0.002344489848232431)","(0.09168887016848774, -0.009798990071742616)","(0.1415528062491343, -0.023114762561040017)","(0.19427456744688504, -0.04327047382506821)","(0.2501517519072795, -0.07161187722503846)","(0.30974904825927846, -0.11012326371093549)","(0.3741843986575086, -0.16202705648118298)","(0.4459363554085935, -0.2333970401420265)","(0.5321145507125278, -0.33937682817301934)","(0.7165924532480529, -0.6309110770295496)",0.006433999980799854
1.7403549999999997,"(0.0, 0.0)","(0.0442469340422954, -0.0023670396359279813)","(0.0911148431217371, -0.009895644814173505)","(0.14066277670932506, -0.02334839754488323)","(0.19302843592840443, -0.04371854618890376)","(0.24848695679880184, -0.07237192015575697)","(0.3075705111511657, -0.1113227074593099)","(0.3713454572600671, -0.16384251106791584)","(0.4421958184264422, -0.23609860817936507)","(0.527003500769782, -0.34346672172758586)","(0.7074979854650746, -0.6391145091821442)",0.007472999976016581
1.8003499999999997,"(0.0, 0.0)","(0.043968525862289914, -0.002387619917345323)","(0.09054735028305148, -0.009984071179366297)","(0.13978342356787665, -0.023562661791252635)","(0.19179870067604893, -0.04413050208321397)","(0.2468468673159183, -0.07307258369042163)","(0.3054289567872057, -0.1124317549473025)","(0.3685617824024324, -0.16552695532475126)","(0.4385383071027861, -0.23861572365344177)","(0.5220205304316026, -0.34729810089138463)","(0.6986653855401852, -0.6468809296476308)",0.006997400079853833
1.8603449999999997,"(0.0, 0.0)","(0.04369336975998648, -0.002406372508332765)","(0.08998651619778507, -0.010064854585310007)","(0.13891489428042259, -0.02375891785236424)","(0.1905854650315719, -0.04450885491225637)","(0.24523143714465698, -0.07371795969766816)","(0.30332403443493683, -0.11345658272804705)","(0.36583249541412166, -0.16708928618834834)","(0.4349620783393294, -0.24096089479974606)","(0.5171624398418281, -0.35088865662567054)","(0.6900869927360255, -0.6542419903248161)",0.00804370001424104
1.9203399999999997,"(0.0, 0.0)","(0.04342151319066203, -0.002423428156246286)","(0.08943242785318463, -0.01013853508928876)","(0.13805728058381608, -0.023938423257955702)","(0.18938875900878185, -0.04485592489602732)","(0.2436405294490985, -0.07431182544824727)","(0.301255285649057, -0.11440289044276673)","(0.36315659193580085, -0.16853770708548688)","(0.4314652432490712, -0.2431456388405462)","(0.5124258585863889, -0.35425464270172663)","(0.6817549233574559, -0.6612266520881844)",0.007826999993994832
1.9803349999999997,"(0.0, 0.0)","(0.043152987592423156, -0.0024389074346899734)","(0.0888851405355094, -0.010205611037715053)","(0.13721062760986888, -0.02410233895389555)","(0.1882085522556674, -0.04517385462959834)","(0.24207393466509758, -0.07485766912208841)","(0.29922216841532995, -0.11527593992818576)","(0.3605329747174825, -0.16987978572809878)","(0.42804581223878213, -0.24518056630361174)","(0.5078073097090461, -0.35741100105649093)","(0.6736611888527136, -0.6678614289788858)",0.008027000003494322
2.04033,"(0.0, 0.0)","(0.042887810852306536, -0.0024529215766910433)","(0.08834468280521655, -0.010266542466169551)","(0.13637494158386473, -0.024251737162552835)","(0.18704476491602173, -0.045464623567303325)","(0.24053138526565868, -0.07535871352496089)","(0.2972240769741977, -0.11608059151628941)","(0.3579604802620388, -0.17112250763956588)","(0.4247017312537152, -0.24707545890496782)","(0.5033032606472522, -0.36037147721851537)","(0.6657977883654159, -0.6741706117742048)",0.007859200006350875
2.1003249999999998,"(0.0, 0.0)","(0.04262598940733804, -0.0024655732460730326)","(0.08781106072428858, -0.010321754248369569)","(0.13555019632838877, -0.02438760866213927)","(0.18589727672827897, -0.04573006142871441)","(0.2390125680010733, -0.07581793801612231)","(0.2952603580643747, -0.11682133754295784)","(0.3554379003981257, -0.17227232546437857)","(0.4214309107798037, -0.24883934112083209)","(0.49891016350349604, -0.3631487260780639)","(0.6581567806025945, -0.6801764719817833)",0.007426499971188605
