alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.18048499999999998,"(0.0, 0.0)","(0.051157081211394555, -0.00046031576721772976)","(0.10524442891611556, -0.0019126598637210855)","(0.162816641422713, -0.00448758649789243)","(0.22463771090068857, -0.008359482804220237)","(0.29181052720211237, -0.01377239885345953)","(0.3660319392493206, -0.021090214173500824)","(0.45016460957942156, -0.03090750264358881)","(0.5498010368088532, -0.0443482062035507)","(0.6794038393709284, -0.06421901597481339)","(0.9915222548619329, -0.11857979452450085)",0.006857800064608455
0.1864845,"(0.0, 0.0)","(0.051146493889121375, -0.0004751520710072455)","(0.10522265314250401, -0.0019743245789912004)","(0.16278195591542688, -0.004632302887885572)","(0.22458700499649897, -0.008629111776857462)","(0.29173888590173025, -0.014216676793141057)","(0.36593195012197793, -0.021770605837153102)","(0.45002506533712144, -0.03190462410604807)","(0.5496040366127025, -0.045778867635231785)","(0.6791158091192139, -0.06629041990338456)","(0.9909638436529249, -0.12240321760547514)",0.006597199942916632
0.192484,"(0.0, 0.0)","(0.05113558627040609, -0.0004899444627778211)","(0.10520021923524285, -0.0020358085517146736)","(0.16274622443232883, -0.004776598532238825)","(0.22453477491960142, -0.008897961836088927)","(0.29166509939144236, -0.014659677195458732)","(0.36582897917144314, -0.02244904635786378)","(0.4498813764618023, -0.032898888250912674)","(0.5494012075390887, -0.047205423363761476)","(0.6788192869547834, -0.06835585448555745)","(0.9903890428368445, -0.12621549618067412)",0.006194800022058189
0.19848349999999998,"(0.0, 0.0)","(0.05112436069798358, -0.0005046917919596013)","(0.10517713206869693, -0.002097107043849089)","(0.16270945494115513, -0.004920462399803851)","(0.22448103274806344, -0.009166012564760663)","(0.29158918546025997, -0.01510136659359479)","(0.36572305229808527, -0.023125484675806156)","(0.4497335805718616, -0.03389022041753725)","(0.5491926046474871, -0.04862776633060387)","(0.678514356038589, -0.07041516450661156)","(0.9897980200865605, -0.13001634207305454)",0.006401299964636564
0.204483,"(0.0, 0.0)","(0.05111281956592894, -0.0005193929303149165)","(0.10515339662366407, -0.0021582154090828047)","(0.1626716555824704, -0.00506388367282485)","(0.22442579081972663, -0.009433243941086201)","(0.29151116227633256, -0.015541712170765479)","(0.3656141959494508, -0.02379987072807)","(0.4495817160740699, -0.034878547414096066)","(0.548978284142983, -0.05004579160536145)","(0.678201101250427, -0.07246819788091355)","(0.9891909465104296, -0.13380547307682264)",0.006432000081986189
0.2104825,"(0.0, 0.0)","(0.05110096531818126, -0.0005340467722812434)","(0.10512901798426962, -0.0022191290942450547)","(0.16263283466444742, -0.005206851750218421)","(0.22436906172398277, -0.009699636344715658)","(0.29143104837431694, -0.015980681770174806)","(0.36550243710112146, -0.024472155463870635)","(0.44942582213475135, -0.03586379753988054)","(0.5487583033327461, -0.051459396417875725)","(0.67787960912134, -0.07451480569873194)","(0.9885679965112579, -0.13758261303743072)",0.006331899901852012
0.21648199999999998,"(0.0, 0.0)","(0.05108880044575349, -0.0005486522352478895)","(0.10510400133215404, -0.0022798436404419206)","(0.16259300065345655, -0.005349356250212297)","(0.22431085828776753, -0.009965170561612386)","(0.2913488626352389, -0.01641824390300374)","(0.36538780322815695, -0.025142290856744492)","(0.4492659386393916, -0.03684590060316408)","(0.5485327205683848, -0.052868480183931615)","(0.6775499677485957, -0.07655484226371263)","(0.9879293476199148, -0.14134749193904522)",0.00625079998280853
0.2224815,"(0.0, 0.0)","(0.05107632748544107, -0.00056320825985104)","(0.10507835194374766, -0.0023403546842699695)","(0.16255216216942991, -0.00549138701316843)","(0.2242511935681354, -0.010229827789275236)","(0.29126462427488253, -0.01685436775696901)","(0.36527032228720396, -0.025810229917612015)","(0.4491021061653105, -0.03782478794032304)","(0.5483015952041683, -0.05427294453272805)","(0.6772122667301256, -0.07858816513283208)","(0.987275180356902, -0.14509984596151881)",0.006466099992394447
0.228481,"(0.0, 0.0)","(0.05106354901781558, -0.0005777138102216404)","(0.10505207518607351, -0.0024006579588351853)","(0.1625103279789484, -0.0056329341039513545)","(0.2241900808416908, -0.010493589641115719)","(0.2911783528281013, -0.017289023203489712)","(0.3651500226934925, -0.02647592670570381)","(0.4489343659480512, -0.038800392431810375)","(0.5480649875475916, -0.055672693329797664)","(0.6768665970895222, -0.08061463514968505)","(0.9866056780802157, -0.14883941755192884)",0.007235700031742454
0.23448049999999998,"(0.0, 0.0)","(0.05105046766545898, -0.0005921678742149904)","(0.10502517651304313, -0.002460749294697219)","(0.16246750698909168, -0.005773987814123386)","(0.22412753359507484, -0.010756438150514611)","(0.29109006813449456, -0.01772218080432617)","(0.36502693329954117, -0.027139336338673915)","(0.4487627598498675, -0.03977264851692374)","(0.5478229588124819, -0.05706763269816126)","(0.6765130512041635, -0.08263411647514063)","(0.9859210268377118, -0.15256595547949697)",0.0068249000469222665
0.24047999999999997,"(0.0, 0.0)","(0.05103708609090762, -0.000606569463604991)","(0.10499766146116003, -0.0025206246206680135)","(0.16242370824037156, -0.0059145386638001715)","(0.2240635655141886, -0.011018355774248019)","(0.2909997903224514, -0.018153811817180045)","(0.36490108337182336, -0.027800415001117768)","(0.44858733032571746, -0.04074149220622066)","(0.5475755710690948, -0.05845767103607308)","(0.6761517227296526, -0.08464647661298753)","(0.9852214152142316, -0.1562792148831416)",0.0066133999498561025
0.2464795,"(0.0, 0.0)","(0.05102340699494555, -0.0006209176142645749)","(0.10496953564593857, -0.002580279964554323)","(0.1623789409007766, -0.006054577403376693)","(0.22399819047495065, -0.011279325395674012)","(0.2909075397951897, -0.01858388820090059)","(0.36477250256994026, -0.028459119952482827)","(0.4484081203923429, -0.04170686109302968)","(0.5473228871979785, -0.059842719033434966)","(0.6757827065289272, -0.08665158643357972)","(0.9845070341855776, -0.159978957314291)",0.007312100031413138
0.252479,"(0.0, 0.0)","(0.05100943311470701, -0.0006352113863146631)","(0.10494080475793251, -0.0026397114537706546)","(0.1623332142592117, -0.006194095014951267)","(0.22393142253322632, -0.011539330327358868)","(0.2908133372157273, -0.019012382619767735)","(0.36464122092447204, -0.02911540953356131)","(0.44822517359575226, -0.04266869436286969)","(0.5470649708419346, -0.06122268968517759)","(0.6754060985990921, -0.08864932019301894)","(0.9837780769693951, -0.16366495077302734)",0.0072679000440984964
0.2584785,"(0.0, 0.0)","(0.05099516722170729, -0.0006494498642453972)","(0.10491147455861784, -0.002698915315838261)","(0.16228653771871776, -0.006333082713484122)","(0.22386327591446073, -0.01179835431321082)","(0.2907172034914838, -0.019439268446964503)","(0.3645072688143848, -0.029769243171737347)","(0.4480385339781923, -0.04362693280103079)","(0.5468018863574067, -0.06259749830197141)","(0.6750219959976321, -0.09063955554840326)","(0.9830347388754285, -0.16733696973454013)",0.007211400079540908
