alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
14.976007625,"(0.0, 0.0)","(8.638701230560125e-05, -0.0016515397649247328)","(0.0007393010294228369, -0.006990478282232783)","(0.0026905479120678116, -0.016720341716701576)","(0.006948479233776922, -0.0318025454097568)","(0.01499237194114035, -0.053651133116353014)","(0.029183012564046817, -0.08454394493055828)","(0.05376149528868274, -0.1286224815151225)","(0.09786850191170327, -0.19491400802125539)","(0.18911372907264495, -0.31091644024497583)","(0.7416068788524903, -0.8929208940810068)",0.018948599987197667
15.3600075,"(0.0, 0.0)","(8.545716844667386e-05, -0.0016327711492665144)","(0.0007313770044188525, -0.006911289549453163)","(0.002661863064925815, -0.01653165469983041)","(0.006874911767713973, -0.03144538374642731)","(0.014835135130004326, -0.053052481028692415)","(0.028881117553539004, -0.08360934950121836)","(0.05321730968588445, -0.12722167032423326)","(0.09691696795917615, -0.1928498650812076)","(0.18745799423663173, -0.3078584711030557)","(0.7448556256105516, -0.8942729775778276)",0.012866600009147078
15.744007375,"(0.0, 0.0)","(8.455151910264497e-05, -0.0016145642319279148)","(0.0007236567699090146, -0.006834453443056239)","(0.002633905038215048, -0.0163485242137985)","(0.006803171934628399, -0.031098622816140817)","(0.01468169843233419, -0.05247099981586046)","(0.028586223757126106, -0.08270097227430323)","(0.05268490158917216, -0.12585875623342452)","(0.09598330564699092, -0.19083773563867787)","(0.18582111819203384, -0.3048630249311288)","(0.7479849807268106, -0.8955747066297128)",0.016656899999361485
16.12800725,"(0.0, 0.0)","(8.366935423221103e-05, -0.001596894994178183)","(0.0007161345797886548, -0.006759870853552421)","(0.0026066544123748425, -0.01617072041095843)","(0.006733214516852243, -0.03076184244737407)","(0.014531978451674407, -0.05190601827233409)","(0.0282982074419382, -0.08181783866798789)","(0.05216414997448743, -0.12453244964177317)","(0.09506762201637431, -0.188876172348647)","(0.1842046070550361, -0.3019295400815736)","(0.7510020702766225, -0.8968291712429827)",0.01328270000522025
16.512007125,"(0.0, 0.0)","(8.280995992273124e-05, -0.001579740562556353)","(0.000708804618361189, -0.006687447230995275)","(0.0025800913512555868, -0.015998023543803672)","(0.006664992686458676, -0.030434639799503185)","(0.014385886804315462, -0.05135689032737546)","(0.0280169311280003, -0.08095900481557176)","(0.05165489765991704, -0.12324148760501795)","(0.094169927091208, -0.18696371830573774)","(0.18260967516920554, -0.29905729069925824)","(0.7539134333877018, -0.8980391916659665)",0.016685499984305352
16.896007,"(0.0, 0.0)","(8.19726247651767e-05, -0.0015630791722090532)","(0.0007016610592926395, -0.006617092465604175)","(0.0025541958361558342, -0.015830223778404515)","(0.006598458672506927, -0.030116629235528606)","(0.014243331733352252, -0.05082299531774804)","(0.027742247182216462, -0.08012355902455766)","(0.05115695908221751, -0.12198463828545138)","(0.09329015105257585, -0.18509891891426478)","(0.1810372855001643, -0.2962454175977305)","(0.7567250944353908, -0.8992073598914073)",0.018277800001669675
17.280006875,"(0.0, 0.0)","(8.115664461827779e-05, -0.0015468901233488322)","(0.0006946981101711644, -0.006548720734115729)","(0.0025289478447952235, -0.01566712091180524)","(0.006533564277581755, -0.02980744198028827)","(0.01410421937450572, -0.05030373783171201)","(0.027474000676665195, -0.0793106224229703)","(0.05067012657848033, -0.12076070388136605)","(0.09242815837082627, -0.18328033085887968)","(0.17948818374614314, -0.2934929535183282)","(0.7594426068337082, -0.9003360562181741)",0.01708119999966584
17.66400675,"(0.0, 0.0)","(8.03613263667749e-05, -0.001531153736756932)","(0.0006879100479935951, -0.006482250338176277)","(0.0025043274952456854, -0.015508524059721238)","(0.0064702612974445045, -0.029506725698109495)","(0.0139684547956479, -0.049798547366804544)","(0.027212031763544225, -0.0785193492096961)","(0.050194175675882, -0.11956852274471806)","(0.0915837599114766, -0.1815065294224799)","(0.17796292843655098, -0.2907988452381663)","(0.7620711029555618, -0.9014274749738219)",0.020279499993193895
18.048006625,"(0.0, 0.0)","(7.958599075762879e-05, -0.0015158513078684277)","(0.0006812912463365281, -0.006417603533191488)","(0.002480315157733691, -0.015354251311705185)","(0.006408501851763074, -0.029214143986518767)","(0.013835942828218067, -0.049306877799439194)","(0.026956177603951997, -0.07774892651201491)","(0.04972886945906732, -0.11840697069981597)","(0.09075672312508723, -0.17977611416380446)","(0.1764619170087601, -0.288161972330408)","(0.7646153327666481, -0.9024836415995543)",0.021496100001968443
18.4320065,"(0.0, 0.0)","(7.882997454056531e-05, -0.0015009650610096565)","(0.0006748361962156529, -0.0063547063548587785)","(0.0024568915418996806, -0.015204129372641224)","(0.006348238646434093, -0.02892937582542122)","(0.013706588737293288, -0.048828206740175975)","(0.02670627394768088, -0.07699857398160698)","(0.049273962208606276, -0.11727496179296074)","(0.0899467807042573, -0.1780877133636943)","(0.17498540862699694, -0.28558116331527916)","(0.7670796981775083, -0.903506427774944)",0.015125899983104318
