F,E,base,height,length,coord0,phi0,k0,coord1,phi1,k1,coord2,phi2,k2,coord3,phi3,k3,coord4,phi4,k4,coord5,phi5,k5,coord6,phi6,k6,coord7,phi7,k7,coord8,phi8,k8,coord9,phi9,k9,time
100.0,100000000000.0,0.02,0.02,0.6000000000000001,"(0.0, -0.0)",0.0,0.04499781330360742,"(0.06666657464381281, -9.629137976625663e-05)",0.002833187665962156,0.03999782020532146,"(0.13333266088427848, -0.0003703500700926795)",0.005333043524383805,0.034997863737286534,"(0.19999793023622897, -0.0007999526411360832)",0.007499570872692516,0.029997968535890242,"(0.2666622104374947, -0.0013628758309864636)",0.009332774306306114,0.02499814752079532,"(0.33332546421121456, -0.002036897147647521)",0.010832658935974274,0.019998403487766325,"(0.3999877615813182, -0.002799795139946746)",0.011999229709720479,0.01499873118500855,"(0.46664926448834604, -0.003629349431396054)",0.012832491075598461,0.009999118466981472,"(0.5333102019361892, -0.0045033406722961)",0.013332446452959165,0.004999548158393241,"(0.5999708440483353, -0.005399550174261714)",0.01349909799205809,-1.771673086015113e-14,0.00886140001239255
100.0,100000000000.0,0.02,0.02,1.0,"(0.0, -0.0)",0.0,0.07497190509198384,"(0.11110993078146511, -0.00044564048587766966)",0.007867251219854647,0.06663866028337395,"(0.22221357954050136, -0.0017139532320399652)",0.014808608826181962,0.058305886626446236,"(0.33330673634550045, -0.0037020135130858235)",0.020824144257629185,0.049973899866071314,"(0.4443871880308466, -0.006306904154239641)",0.02591395536140943,0.041642865989670354,"(0.5554544386873705, -0.009425734796103084)",0.030078151263211856,0.03331282219043106,"(0.6665094153502775, -0.012955652143536014)",0.03331683894859606,0.024983698940713037,"(0.7775541891903907, -0.016793842025274227)",0.0356301127746213,0.016655340902704555,"(0.8885916860409837, -0.020837525082447288)",0.03701804608366823,0.008327528638910077,"(0.9996254012264513, -0.024983947858897005)",0.03748068522856894,4.7704895589362195e-18,0.01833920000353828
100.0,300000000000.0,0.01,0.01,0.2,"(0.0, -0.0)",0.0,0.07999863473323854,"(0.022222211471389572, -1.9021149076971416e-05)",0.0016789820307947314,0.07110975014468271,"(0.044444365620246964, -7.315817221166261e-05)",0.0031604335079565443,0.06222088848513975,"(0.06666642427620223, -0.0001580214069207888)",0.004444355136547114,0.05333206502275765,"(0.08888836738528585, -0.0002692212066655051)",0.005530747865119493,0.044443287779124194,"(0.11111018988849425, -0.000402367982048307)",0.006419612730711547,0.03555455877784081,"(0.13333190045990057, -0.0005530722062013807)",0.007110950799227315,0.026665874549278316,"(0.15555351835256429, -0.0007169444385880953)",0.007604762986678702,0.017777227392212835,"(0.17777506999995818, -0.0008895953009172436)",0.007901049996889313,0.008888606733255266,"(0.1999965868330965, -0.0010666354611239197)",0.00799981227709342,-8.326672684688674e-17,0.00812499999301508
100.0,300000000000.0,0.01,0.01,0.6000000000000001,"(0.0, -0.0)",0.0,0.23966952772629782,"(0.06666406150458928, -0.000512836218359006)",0.015089097303719948,0.21300390312446213,"(0.13331425970407917, -0.00197224109951661)",0.028400645133711443,0.1863438238446662,"(0.1999413078600203, -0.004259509899638931)",0.03993514754181998,0.15969300458228974,"(0.2665403349612946, -0.007255969468918428)",0.049693295944820456,0.13305339374178,"(0.33311025021049534, -0.010843060885426551)",0.05767585978639421,0.10642542764209968,"(0.3996531089361029, -0.014902381773745092)",0.06388359422352269,0.07980828415185667,"(0.46617348015685234, -0.019315695094182954)",0.0683171647596649,0.053200135663556906,"(0.5326778154488588, -0.02396491119276717)",0.0709770885426132,0.026598401546754316,"(0.5991738193157456, -0.02873204965847145)",0.07186369254299467,-3.642919299551295e-16,0.010870400001294911
100.0,300000000000.0,0.01,0.01,1.0,"(0.0, -0.0)",0.0,0.3958584313792875,"(0.11107823638652464, -0.0023517861969065794)",0.04151550606497835,0.35142713682467763,"(0.2219817711636545, -0.009038180596931294)",0.07809753929392123,0.30706572291382567,"(0.3325942147080908, -0.019504068990396764)",0.10975667356426289,0.26282074549605117,"(0.44285521223196656, -0.03319548227466995)",0.13650737946912775,0.21871634648650087,"(0.5527520262104021, -0.04956244258786406)",0.15836572080293823,0.17475762089512667,"(0.6623111786619638, -0.06806038980053707)",0.17534742408959875,0.13093395991450202,"(0.7715902577144768, -0.08815044578054224)",0.18746631692616403,0.08722232829349681,"(0.8806699198458755, -0.10929876939974796)",0.19473312554339173,0.04359046344093735,"(0.989646078448219, -0.13097524209075384)",0.19715462370666337,-4.5102810375396984e-17,0.018292900000233203
100.0,300000000000.0,0.01,0.02,0.2,"(0.0, -0.0)",0.0,0.009999997333439328,"(0.022222222054234568, -2.3776856612083956e-06)",0.0002098764840005863,0.0088888862307276,"(0.044444443195442586, -9.14494467102643e-06)",0.0003950616105349919,0.007777775173667199,"(0.06666666280621458, -1.975308001753968e-05)",0.0005555553809770703,0.0066666641931286,"(0.08888888065597664, -3.365339470610644e-05)",0.0006913577974627896,0.005555553300640496,"(0.11111109668371699, -5.029719186690207e-05)",0.0008024688619896125,0.004444442499253479,"(0.1333333109802091, -6.913577476104783e-05)",0.0008888885763539409,0.0033333317844288753,"(0.15555552378801146, -8.962044678061118e-05)",0.0009506169421511178,0.0022222211440387557,"(0.1777777355014679, -0.00011120251144860533)",0.000987653960775425,0.0011111105583659344,"(0.19999994666670734, -0.00013333327241898968)",0.0009999996334200836,1.03965447362242e-13,0.0057446999999228865
100.0,300000000000.0,0.01,0.02,0.6000000000000001,"(0.0, -0.0)",0.0,0.02999935203998641,"(0.06666662566306114, -6.419607615908611e-05)",0.0018888457231907674,0.026666020756833355,"(0.13333303433437907, -0.00024690756772900236)",0.0035554696798779373,0.02333270032326746,"(0.19999908022306445, -0.000533319297032207)",0.004999872847213575,0.01999939802883319,"(0.2666646859844951, -0.000908616155835963)",0.006222056571394671,0.01666611774076165,"(0.3333298350053662, -0.0013579832361398252)",0.007222022380650646,0.013332860289718099,"(0.3999945606311467, -0.0018666059620215643)",0.00799977175791518,0.009999624008429077,"(0.46665893218967347, -0.002419670062047563)",0.008555305982108534,0.006666405430502731,"(0.5333230518089862, -0.003002361562185801)",0.008888626087984216,0.0033331994495370974,"(0.599987040799749, -0.0035998667074791297)",0.008999732717863626,-1.0460382560140147e-15,0.008779299998423085
100.0,300000000000.0,0.01,0.02,1.0,"(0.0, -0.0)",0.0,0.0499916706326101,"(0.1111105861586319, -0.00029715871135981)",0.005245988835219068,0.044436141324678505,"(0.22221837938042735, -0.0011429036539469307)",0.009874703306699446,0.038880751663588724,"(0.3333215063909563, -0.0024686347114222422)",0.013886164570330348,0.03332559531306229,"(0.44441898450875067, -0.004205753890375513)",0.017280401664039383,0.027770721407172565,"(0.55551059038792, -0.006285671233694474)",0.020057446904173788,0.02221614111321411,"(0.6665967389813918, -0.008639807760645341)",0.022217332051120708,0.016661833683540517,"(0.7776783480855876, -0.011199596019362771)",0.02376008504329391,0.011107753228330729,"(0.8887567218099616, -0.013896479020355245)",0.024685727658872947,0.005553834542112024,"(0.9998334126492164, -0.01666190730604887)",0.024994273624367593,1.4929377178951597e-13,0.010669900017092004
100.0,300000000000.0,0.02,0.01,0.2,"(0.0, -0.0)",0.0,0.03999982933541375,"(0.022222219534442138, -9.510702617967146e-06)",0.0008395023833403794,0.03555538542852532,"(0.04444442467157914, -3.657961394502359e-05)",0.001580239372430051,0.031110944401097917,"(0.06666660585366538, -7.901193573322382e-05)",0.002222211056183774,0.02666650816468067,"(0.08888875841029101, -0.00013461287077708262)",0.0027654175587411697,0.022222077653355543,"(0.11111088095061573, -0.00020118763011949157)",0.0032098590052122675,0.017777653145290586,"(0.13333297525641868, -0.00027654143345817554)",0.0035555355196771987,0.013333234284129976,"(0.15555504625024344, -0.00035847950915137144)",0.0038024472243981255,0.00888882008536506,"(0.1777771007729993, -0.0004448070943488285)",0.003950594211536985,0.004444409180813888,"(0.19999914667706886, -0.000533329432678143)",0.003999976534131655,-2.0816681711721685e-17,0.005941500014159828
100.0,300000000000.0,0.02,0.01,0.6000000000000001,"(0.0, -0.0)",0.0,0.11995856889809439,"(0.06666601386631696, -0.0002566968558569352)",0.007552795690850972,0.106625366124831,"(0.13332855409143288, -0.0009872697347591078)",0.0142167311072973,0.09329285807980782,"(0.1999852918417636, -0.0021324360371899427)",0.019991869408092246,0.07996151052974168,"(0.26663500396257295, -0.0036329170726368872)",0.024878297204095942,0.0666315681055798,"(0.3332774156963408, -0.005429448445314917)",0.028876111055936154,0.05330308575882624,"(0.3999130393692818, -0.007462785426019579)",0.03198540557205553,0.039975961024238046,"(0.46654302143108084, -0.00967370405680965)",0.034206264324237685,0.026649964611878248,"(0.5331689782820341, -0.012002998827189587)",0.035538752131074706,0.013324773241687586,"(0.5997928444904721, -0.014391478054563932)",0.03598291006067275,-1.3877787807814457e-17,0.008721599995624274
